Namespace(batch_size=16, beta1=0.5, cuda=False, dataroot='./cifar10', dataset='cifar10', image_size=64, learning_rate=0.0002, local_rank=0, max_workers=2, ndf=64, ngf=64, num_epochs=1, nz=100, out_folder='.', seed=0)
Namespace(batch_size=16, beta1=0.5, cuda=False, dataroot='./cifar10', dataset='cifar10', image_size=64, learning_rate=0.0002, local_rank=1, max_workers=2, ndf=64, ngf=64, num_epochs=1, nz=100, out_folder='.', seed=0)
Using seed: 0
Using seed: 0
Using GPU: False
Using GPU: False
Rank: 0. World Size: 2
Rank: 1. World Size: 2
Dataset cifar10 loaded
Dataset cifar10 loaded
Rank,1,Initialization Time: 1.8638
Rank,0,Initialization Time: 1.8638
Rank: 0, Epoch: 0, Training ...
Rank: 1, Epoch: 0, Training ...
Rank, 0, Epoch, 0, Iteration, 46, It. time, 1.0792s,Elapsed time,51.8278
Rank, 1, Epoch, 0, Iteration, 47, It. time, 1.0998s,Elapsed time,52.9237
Rank, 0, Epoch, 0, Iteration, 47, It. time, 1.1001s,Elapsed time,52.9279
Rank, 0, Epoch, 0, Iteration, 48, It. time, 1.0890s,Elapsed time,54.0169
Rank, 1, Epoch, 0, Iteration, 48, It. time, 1.0893s,Elapsed time,54.0130
Rank, 1, Epoch, 0, Iteration, 49, It. time, 1.0933s,Elapsed time,55.1062
Rank, 0, Epoch, 0, Iteration, 49, It. time, 1.0935s,Elapsed time,55.1104
Rank, 0, Epoch, 0, Iteration, 50, It. time, 1.1060s,Elapsed time,56.2163
Rank, 1, Epoch, 0, Iteration, 50, It. time, 1.1062s,Elapsed time,56.2125
Rank, 1, Epoch, 0, Iteration, 51, It. time, 1.0932s,Elapsed time,57.3057
Rank, 0, Epoch, 0, Iteration, 51, It. time, 1.0932s,Elapsed time,57.3095
Rank, 0, Epoch, 0, Iteration, 52, It. time, 1.0850s,Elapsed time,58.3945
Rank, 1, Epoch, 0, Iteration, 52, It. time, 1.0850s,Elapsed time,58.3907
Rank, 1, Epoch, 0, Iteration, 53, It. time, 1.0916s,Elapsed time,59.4822
Rank, 0, Epoch, 0, Iteration, 53, It. time, 1.0915s,Elapsed time,59.4860
Rank, 1, Epoch, 0, Iteration, 54, It. time, 1.0919s,Elapsed time,60.5741
Rank, 0, Epoch, 0, Iteration, 54, It. time, 1.0919s,Elapsed time,60.5780
Rank, 1, Epoch, 0, Iteration, 55, It. time, 1.0887s,Elapsed time,61.6628
Rank, 0, Epoch, 0, Iteration, 55, It. time, 1.0890s,Elapsed time,61.6670
Rank, 0, Epoch, 0, Iteration, 56, It. time, 1.1163s,Elapsed time,62.7833
Rank, 1, Epoch, 0, Iteration, 56, It. time, 1.1165s,Elapsed time,62.7793
Rank, 0, Epoch, 0, Iteration, 57, It. time, 1.0964s,Elapsed time,63.8797
Rank, 1, Epoch, 0, Iteration, 57, It. time, 1.0965s,Elapsed time,63.8758
Rank, 0, Epoch, 0, Iteration, 58, It. time, 1.1042s,Elapsed time,64.9839
Rank, 1, Epoch, 0, Iteration, 58, It. time, 1.1041s,Elapsed time,64.9799
Rank, 1, Epoch, 0, Iteration, 59, It. time, 1.0895s,Elapsed time,66.0694
Rank, 0, Epoch, 0, Iteration, 59, It. time, 1.0895s,Elapsed time,66.0734
Rank, 1, Epoch, 0, Iteration, 60, It. time, 1.1090s,Elapsed time,67.1784
Rank, 0, Epoch, 0, Iteration, 60, It. time, 1.1092s,Elapsed time,67.1826
Rank, 1, Epoch, 0, Iteration, 61, It. time, 1.1008s,Elapsed time,68.2792
Rank, 0, Epoch, 0, Iteration, 61, It. time, 1.1011s,Elapsed time,68.2837
Rank, 0, Epoch, 0, Iteration, 62, It. time, 1.0898s,Elapsed time,69.3735
Rank, 1, Epoch, 0, Iteration, 62, It. time, 1.0898s,Elapsed time,69.3690
Rank, 0, Epoch, 0, Iteration, 63, It. time, 1.0932s,Elapsed time,70.4666
Rank, 1, Epoch, 0, Iteration, 63, It. time, 1.0932s,Elapsed time,70.4622
Rank, 1, Epoch, 0, Iteration, 64, It. time, 1.0930s,Elapsed time,71.5552
