Namespace(batch_size=16, beta1=0.5, cuda=False, dataroot='./cifar10', dataset='cifar10', image_size=64, learning_rate=0.0002, local_rank=0, max_workers=2, ndf=64, ngf=64, num_epochs=1, nz=100, out_folder='.', seed=0)
Namespace(batch_size=16, beta1=0.5, cuda=False, dataroot='./cifar10', dataset='cifar10', image_size=64, learning_rate=0.0002, local_rank=1, max_workers=2, ndf=64, ngf=64, num_epochs=1, nz=100, out_folder='.', seed=0)
Using seed: 0
Using seed: 0
Using GPU: False
Using GPU: False
Rank: 1. World Size: 2
Rank: 0. World Size: 2
Dataset cifar10 loaded
Dataset cifar10 loaded
Rank,1,Initialization Time: 1.9356
Rank: 1, Epoch: 0, Training ...
Rank,0,Initialization Time: 1.9359
Rank: 0, Epoch: 0, Training ...
Rank, 0, Epoch, 0, Iteration, 43, It. time, 1.1661s,Elapsed time,51.4408
Rank, 1, Epoch, 0, Iteration, 43, It. time, 1.1781s,Elapsed time,51.4769
Rank, 1, Epoch, 0, Iteration, 44, It. time, 1.1805s,Elapsed time,52.6573
Rank, 0, Epoch, 0, Iteration, 44, It. time, 1.1869s,Elapsed time,52.6277
Rank, 1, Epoch, 0, Iteration, 45, It. time, 1.1710s,Elapsed time,53.8283
Rank, 0, Epoch, 0, Iteration, 45, It. time, 1.1635s,Elapsed time,53.7912
Rank, 0, Epoch, 0, Iteration, 46, It. time, 1.1602s,Elapsed time,54.9514
Rank, 1, Epoch, 0, Iteration, 46, It. time, 1.1576s,Elapsed time,54.9859
Rank, 0, Epoch, 0, Iteration, 47, It. time, 1.1520s,Elapsed time,56.1034
Rank, 1, Epoch, 0, Iteration, 47, It. time, 1.1610s,Elapsed time,56.1469
Rank, 1, Epoch, 0, Iteration, 48, It. time, 1.1488s,Elapsed time,57.2956
Rank, 0, Epoch, 0, Iteration, 48, It. time, 1.1485s,Elapsed time,57.2519
Rank, 1, Epoch, 0, Iteration, 49, It. time, 1.1512s,Elapsed time,58.4468
Rank, 0, Epoch, 0, Iteration, 49, It. time, 1.1437s,Elapsed time,58.3956
Rank, 0, Epoch, 0, Iteration, 50, It. time, 1.1580s,Elapsed time,59.5536
Rank, 1, Epoch, 0, Iteration, 50, It. time, 1.1503s,Elapsed time,59.5971
